id,parent_id,type,subtype,code,name,is_group,is_selectable,est_count,concept_id,domain_id
316327,0,PPI,,ConsentPII,Consent PII,1,0,,1585594,Observation
316328,0,PPI,,EHRConsentPII,EHRConsent PII,1,0,,1586098,Observation
316329,0,PPI,,Lifestyle,Lifestyle,1,0,,1585855,Observation
316330,0,PPI,,OverallHealth,Overall Health,1,0,,1585710,Observation
316331,0,PPI,,PMI,PMI,1,0,,903102,Observation
316332,0,PPI,,RefresherConsent,Refresher Consent,1,0,,1585550,Observation
316333,0,PPI,,TheBasics,The Basics,1,0,,1586134,Observation
316334,316327,PPI,,ConsentPII_ArizonaSitePairing,Arizona Site Pairing,0,0,,1585469,Observation
316335,316327,PPI,,ConsentPII_CaliforniaSitePairing,California Site Pairing,0,0,,1585575,Observation
316336,316327,PPI,,ConsentPII_CHCSitePairing,Community Health Center Site Pairing,0,0,,1585592,Observation
316337,316327,PPI,,ConsentPII_ColumbiaSitePairing,Columbia Site Pairing,0,0,,1585579,Observation
316338,316327,PPI,,ConsentPII_EmailAddress,Email Address,0,1,,1585260,Observation
316339,316327,PPI,,ConsentPII_ExtraConsent,Extra Consent,0,0,,1585476,Observation
316340,316327,PPI,,ConsentPII_IllinoisSitePairing,Illinois Site Pairing,0,0,,1585513,Observation
316341,316327,PPI,,ConsentPII_Language,Language,0,0,,1585412,Observation
316342,316327,PPI,,ConsentPII_MichiganSitePairing,"If participant lives in Michigan, at the conclusion of the consent process (same location as UPMC)",0,0,,1585562,Observation
316343,316327,PPI,,ConsentPII_MississippiSitePairing,Mississippi Site Pairing,0,0,,1585531,Observation
316344,316327,PPI,,ConsentPII_NewEnglandSitePairing,New England Site Pairing,0,0,,1585526,Observation
316345,316327,PPI,,ConsentPII_NewYorkSitePairing,New York Site Pairing,0,0,,1585538,Observation
316346,316327,PPI,,ConsentPII_PIIAddress,Address,0,0,,1585245,Observation
316347,316327,PPI,,ConsentPII_PIIBirthInformation,Birth Information,0,0,,1585258,Observation
